species,sex,ID,m,pw,mw,R,S,AR,rh1S,rh2S,rh3S,vh,rh1v,rh2v,mhw,hh,rh1m,rh2m
Aeshna cyanea,M,AC1,677.1,2.97,8.93,49.87,934.19,10.43,0.517,0.577,0.638,1.061,0.518,0.577,1.32,0.0153,0.113,0.437
Aeshna cyanea,M,AC2,10836,3.02,11.02,51.33,933.91,11.38,0.507,0.566,0.613,1.061,0.514,0.564,1.01,0.0192,0.348,0.479
Aeshna cyanea,F,AC3,14623,5.96,9.60,50.05,897.16,11.23,0.505,0.567,0.614,1.054,0.511,0.563,0.93,0.0185,0.316,0.434
Aeshna cyanea,F,AC4,818.2,3.76,9.68,53.95,1067.29,10.91,0.517,0.577,0.621,1.061,0.510,0.579,1.11,0.0130,0.391,0.488
Aeshna cyanea,F,AC5,544.7,2.71,6.81,52.20,1007.73,10.83,0.520,0.578,0.621,1.066,0.513,0.580,1.04,0.0188,0.365,0.451
Aeshna cyanea,F,AC6,507.6,2.52,6.50,50.70,973.01,10.56,0.513,0.573,0.614,1.069,0.513,0.571,1.14,0.0190,0.383,0.464
Libellula depressa,M,LD1,643.6,3.72,1.37,36.52,521.86,10.23,0.503,0.568,0.613,1.043,0.509,0.563,1.03,0.0198,0.323,0.481
Libellula quadrimaculata,M,LQ8,793.0,2.76,,36.47,462.46,10.28,0.518,0.579,0.623,1.050,0.511,0.561,,,,
Libellula quadrimaculata,M,LQ16,373.8,3.16,4.10,37.39,313.98,10.86,0.506,0.570,0.618,1.043,0.511,0.566,1.19,0.0177,0.359,0.580
Libellula quadrimaculata,M,LQ18,295.0,2.49,3.04,36.53,316.79,10.53,0.506,0.571,0.616,1.049,0.517,0.569,1.71,0.0218,0.345,0.482
Libellula quadrimaculata,M,LQ29,363.0,,4.23,35.99,,,,,,,,,1.09,,0.345,0.521
Libellula quadrimaculata,M,LQ30,377.9,3.17,4.27,36.44,524.02,10.16,0.506,0.570,0.613,1.052,0.514,0.566,1.13,0.0184,0.370,0.497
Libellula quadrimaculata,M,LQ31,408.8,3.49,4.71,36.76,522.47,10.34,0.514,0.576,0.621,1.052,0.515,0.577,1.13,0.0204,0.371,0.484
Orthetrum cancellatum,M,OC1,415.8,3.11,4.50,38.47,507.73,10.42,0.498,0.563,0.609,1.040,0.499,0.555,1.08,0.0173,0.354,0.491
Orthetrum cancellatum,M,OC2,449.1,3.65,4.73,39.49,,,,,,,,,1.03,,0.341,0.481
Orthetrum cancellatum,M,OC3,443.7,3.74,4.97,39.43,,,,,,,,,1.12,,0.333,0.482
Orthetrum cancellatum,M,OC4,443.1,3.24,4.61,38.54,589.26,10.08,0.497,0.563,0.608,1.046,0.499,0.554,1.04,0.0169,,
Orthetrum cancellatum,M,OC5,415.0,2.86,4.79,39.97,618.03,10.34,0.499,0.563,0.610,1.044,0.500,0.555,1.15,0.0161,0.358,0.489
Orthetrum cancellatum,M,OC6,382.1,2.91,3.85,38.36,562.51,10.46,0.501,0.565,0.611,1.045,0.504,0.558,1.01,0.0147,0.346,0.486
Orthetrum cancellatum,M,OC7,330.7,2.57,3.93,40.06,596.87,10.75,0.501,0.564,0.610,1.050,0.503,0.556,1.11,0.0136,0.410,0.493
